encoder__Dependents,encoder__PaymentMethod,encoder__InternetService,encoder__tenure_group,remainder__SeniorCitizen,remainder__Partner,remainder__Tenure,remainder__Contract,remainder__PaperlessBilling,remainder__MonthlyCharges,remainder__TotalCharges,remainder__OnlineSecurity,remainder__OnlineBackup,remainder__DeviceProtection,remainder__TechSupport,remainder__service_diversity,remainder__monthly_charges_ratio,remainder__is_paperless_electronic
0.0,1.0,1.0,4.0,0,1,60,1,1,94.1,5475.9,1,1,0,0,2,1.4469648938124278,1
1.0,0.0,2.0,0.0,0,0,12,24,0,19.35,212.3,0,0,0,0,0,0.2975427278987299,0
0.0,2.0,1.0,0.0,0,0,2,1,1,80.45,137.1,1,0,1,0,2,1.2370704113412307,0
0.0,1.0,0.0,2.0,0,1,33,12,0,74.75,2453.3,1,0,1,0,2,1.1494221659136978,0
1.0,3.0,1.0,1.0,0,0,14,1,1,86.0,1164.05,1,0,0,1,2,1.322412123994355,0
1.0,1.0,1.0,5.0,0,1,72,24,1,109.5,7854.9,1,1,1,1,4,1.6837689253183936,1
0.0,3.0,0.0,2.0,0,1,30,1,1,50.0,1474.9,0,0,1,0,1,0.7688442581362528,0
0.0,3.0,2.0,0.0,0,0,5,1,1,19.25,86.05,0,0,0,0,0,0.2960050393824573,0
0.0,1.0,0.0,5.0,1,1,69,24,0,56.55,3952.65,1,1,0,0,2,0.8695628559521019,0
0.0,2.0,0.0,4.0,0,1,58,24,1,86.1,4890.5,1,1,1,0,3,1.3239498125106273,0
1.0,2.0,0.0,1.0,0,1,21,1,1,26.05,565.75,0,0,0,0,0,0.40056785848898774,0
1.0,3.0,0.0,1.0,0,0,21,24,0,53.15,1183.2,1,1,1,1,4,0.8172814463988367,0
0.0,0.0,2.0,4.0,0,1,53,12,1,19.85,1039.45,0,0,0,0,0,0.3052311704800924,1
0.0,0.0,2.0,5.0,0,0,72,24,0,19.3,1414.8,0,0,0,0,0,0.2967738836405936,0
1.0,2.0,1.0,4.0,0,0,54,12,1,105.85,5826.65,1,1,0,1,3,1.627643294474447,0
0.0,0.0,1.0,1.0,0,0,20,1,1,108.2,2203.7,1,1,1,1,4,1.6637789746068512,1
1.0,3.0,2.0,4.0,0,1,60,24,0,20.55,1205.05,0,0,0,0,0,0.3159949900939999,0
1.0,3.0,2.0,2.0,0,1,25,1,1,19.15,477.6,0,0,0,0,0,0.2944673508661848,0
0.0,1.0,0.0,4.0,0,0,54,24,0,45.2,2460.55,1,0,0,1,2,0.6950352093551726,0
0.0,3.0,2.0,1.0,0,1,15,12,0,18.8,294.95,0,0,0,0,0,0.28908544105923106,0
0.0,1.0,2.0,1.0,0,0,21,24,1,20.85,435.25,0,0,0,0,0,0.32060805564281747,1
0.0,3.0,0.0,0.0,0,1,10,12,0,49.55,475.7,0,1,0,0,1,0.7619246598130265,0
1.0,1.0,0.0,3.0,0,0,37,24,0,61.45,2302.35,1,1,0,1,3,0.9449095932494548,0
0.0,1.0,1.0,4.0,1,0,59,24,1,79.2,4590.35,0,1,0,0,1,1.2178493048878245,1
1.0,0.0,2.0,5.0,0,1,62,24,0,20.3,1296.15,0,0,0,0,0,0.31215076880331866,0
0.0,3.0,0.0,2.0,0,0,35,1,0,55.0,2010.55,0,0,0,0,0,0.8457286839498781,0
0.0,3.0,0.0,0.0,1,0,1,1,1,25.7,25.7,0,0,0,0,0,0.39518594868203394,0
0.0,2.0,1.0,1.0,1,1,13,1,1,95.25,1233.65,0,0,0,0,0,1.4646483117495617,0
0.0,0.0,2.0,0.0,0,0,1,1,0,19.75,19.75,0,0,0,0,0,0.30369348196381984,0
0.0,0.0,1.0,1.0,0,0,23,1,1,90.05,2169.8,1,0,0,0,1,1.3846885089033913,1
1.0,2.0,1.0,4.0,1,1,60,1,1,93.25,5774.55,1,1,0,0,2,1.4338945414241115,0
0.0,0.0,0.0,0.0,0,0,1,1,1,35.25,35.25,0,0,0,0,0,0.5420352019860583,1
0.0,3.0,0.0,0.0,0,1,3,1,1,56.15,168.15,0,1,1,0,2,0.8634121018870119,0
1.0,3.0,2.0,5.0,0,1,63,24,1,19.15,1177.05,0,0,0,0,0,0.2944673508661848,0
0.0,0.0,0.0,0.0,0,1,11,1,1,55.05,608.15,0,0,0,0,0,0.8464975282080143,1
0.0,2.0,0.0,0.0,0,1,1,1,1,24.8,24.8,0,0,0,0,0,0.3813467520355814,0
1.0,3.0,2.0,0.0,0,1,6,12,0,19.45,113.5,0,0,0,0,0,0.2990804164150023,0
1.0,3.0,0.0,1.0,0,0,13,1,0,44.0,659.35,0,0,0,0,0,0.6765829471599024,0
0.0,1.0,1.0,4.0,0,1,51,12,1,96.4,4911.05,1,1,0,0,2,1.4823317296866956,1
0.0,1.0,0.0,2.0,0,1,27,12,0,48.7,1421.75,1,0,0,0,1,0.7488543074247103,0
0.0,3.0,0.0,0.0,0,0,11,1,1,35.8,363.15,0,0,0,0,0,0.550492488825557,0
0.0,3.0,0.0,3.0,0,1,37,12,0,72.1,2658.4,0,1,0,1,2,1.1086734202324764,0
0.0,3.0,2.0,0.0,0,0,9,1,0,20.25,186.15,0,0,0,0,0,0.3113819245451824,0
0.0,2.0,1.0,2.0,1,0,26,1,1,89.15,2277.65,0,1,0,0,1,1.3708493122569387,0
0.0,0.0,1.0,5.0,1,1,66,12,1,107.35,7051.95,0,1,1,1,3,1.6507086222185348,1
0.0,2.0,1.0,0.0,1,0,1,1,1,74.4,74.4,0,0,0,0,0,1.1440402561067442,0
0.0,1.0,0.0,3.0,0,1,45,1,1,50.25,2221.55,0,0,1,0,1,0.7726884794269341,1
1.0,3.0,0.0,0.0,0,1,8,12,1,43.45,345.5,0,0,0,0,0,0.6681256603204038,0
0.0,2.0,1.0,0.0,1,0,2,1,1,69.6,131.65,0,0,0,0,0,1.070231207325664,0
0.0,3.0,2.0,0.0,0,0,10,1,0,18.85,163.2,0,0,0,0,0,0.28985428531736734,0
0.0,3.0,0.0,1.0,0,0,14,12,0,55.7,795.15,1,0,0,1,2,0.8564925035637857,0
0.0,1.0,1.0,5.0,0,0,64,12,1,100.05,6254.2,0,0,1,0,1,1.5384573605306417,1
0.0,0.0,0.0,5.0,0,0,72,24,1,75.1,5336.35,1,1,1,1,4,1.1548040757206517,1
0.0,2.0,0.0,4.0,1,0,52,1,1,49.15,2550.9,0,1,0,0,1,0.7557739057479365,0
1.0,0.0,1.0,2.0,0,1,34,1,1,97.7,3410.0,0,1,0,0,1,1.502321680398238,1
0.0,3.0,0.0,0.0,0,1,3,1,1,46.1,130.15,0,0,0,0,0,0.7088744060016251,0
0.0,3.0,2.0,0.0,0,0,4,1,0,25.25,101.9,0,0,0,0,0,0.3882663503588077,0
0.0,3.0,1.0,3.0,0,0,40,1,1,102.65,4108.15,0,1,1,0,2,1.578437261953727,0
0.0,2.0,1.0,4.0,0,1,49,1,1,95.6,4783.5,0,0,0,0,0,1.4700302215565153,0
0.0,3.0,0.0,0.0,0,0,3,1,0,45.45,141.7,0,0,0,0,0,0.6988794306458539,0
0.0,2.0,1.0,3.0,0,0,47,1,1,106.4,5127.95,0,1,1,0,2,1.636100581313946,0
0.0,0.0,0.0,5.0,0,0,67,12,1,88.8,5903.15,1,1,1,1,4,1.3654674024499849,1
0.0,2.0,1.0,0.0,0,1,10,1,1,70.3,738.2,0,0,0,0,0,1.0809950269395714,0
0.0,2.0,1.0,4.0,0,0,50,24,1,109.65,5551.15,1,1,0,1,3,1.6860754580928026,0
